mean,lwrCL,uprCL,stdev,lwrCL_adj,uprCL_adj,spo,naCount
1.02,1.009,1.03,0.005,1.001,1.034,SPO0110,0
1.036,1.022,1.051,0.007,1.011,1.061,SPO0111,0
1.019,1.007,1.031,0.006,0.997,1.037,SPO0112,0
1.021,1.002,1.041,0.01,0.987,1.056,SPO0113,0
1.026,0.977,1.074,0.025,0.943,1.112,SPO0114,0
1.006,0.983,1.026,0.011,0.965,1.035,SPO0115,0
1.02,1.004,1.033,0.008,0.99,1.044,SPO0116,0
0.946,0.939,0.952,0.003,0.934,0.956,SPO0118,0
1.047,0.979,1.108,0.033,0.925,1.132,SPO0119,0
1.008,0.987,1.029,0.011,0.974,1.048,SPO0120,0
0.985,0.942,1.03,0.023,0.911,1.06,SPO0122,0
1.003,0.984,1.027,0.011,0.977,1.05,SPO0123,0
1.035,1.02,1.05,0.008,1.009,1.059,SPO0124,0
0.973,0.937,1.007,0.018,0.912,1.029,SPO0125,0
1.045,1.018,1.071,0.014,0.997,1.089,SPO0126,0
0.999,0.879,1.118,0.061,0.785,1.189,SPO0127,0
1.011,0.989,1.036,0.012,0.976,1.057,SPO0128,0
1.039,1.01,1.065,0.014,0.988,1.079,SPO0129,0
0.904,0.866,0.948,0.021,0.839,0.982,SPO0130,0
1.066,1.02,1.118,0.025,1.001,1.169,SPO0131,0
0.96,0.946,0.973,0.007,0.935,0.986,SPO0132,0
1.003,0.987,1.017,0.008,0.973,1.023,SPO0133,0
1.066,0.976,1.175,0.053,0.927,1.269,SPO0134,0
0.967,0.927,1.01,0.021,0.903,1.046,SPO0135,0
1.008,0.974,1.042,0.018,0.941,1.069,SPO0136,0
1,0.968,1.035,0.017,0.953,1.062,SPO0137,0
0.979,0.937,1.024,0.023,0.913,1.064,SPO0138,0
0.966,0.933,1.001,0.017,0.903,1.026,SPO0139,0
0.967,0.905,1.025,0.031,0.85,1.073,SPO0140,0
0.963,0.899,1.038,0.035,0.861,1.104,SPO0141,0
0.997,0.964,1.027,0.016,0.937,1.045,SPO0142,0
0.937,0.904,0.96,0.015,0.882,0.968,SPO0143,0
NA,NA,NA,NA,NA,NA,SPO0144,10000
1.03,1.003,1.056,0.014,0.977,1.066,SPO0146,0
0.616,0.216,0.918,0.185,0,0.996,SPO0147,0
NA,NA,NA,NA,NA,NA,SPO0149,10000
NA,NA,NA,NA,NA,NA,SPO0150,10000
0.958,0.939,0.98,0.011,0.926,0.998,SPO0151,0
0.985,0.972,0.998,0.007,0.963,1.008,SPO0152,0
0.873,0.822,0.923,0.026,0.783,0.957,SPO0153,0
1.01,0.986,1.037,0.013,0.975,1.062,SPO0154,0
NA,NA,NA,NA,NA,NA,SPO0155,10000
1.014,0.985,1.039,0.014,0.958,1.05,SPO0156,0
1.008,0.986,1.027,0.011,0.967,1.042,SPO0157,0
1.03,1.014,1.047,0.009,1.001,1.056,SPO0160,0
0.989,0.974,1.003,0.008,0.963,1.008,SPO0161,0
0.954,0.884,1.014,0.034,0.823,1.048,SPO0162,0
0.994,0.961,1.039,0.02,0.944,1.076,SPO0163,0
0.952,0.896,0.995,0.027,0.842,1.003,SPO0164,0
1.002,0.951,1.055,0.027,0.924,1.103,SPO0165,0
0.962,0.928,1,0.019,0.914,1.039,SPO0166,0
0.998,0.942,1.048,0.028,0.893,1.083,SPO0167,0
1.023,0.984,1.065,0.021,0.958,1.1,SPO0168,0
0.921,0.876,0.979,0.026,0.866,1.024,SPO0169,0
1.01,0.978,1.045,0.017,0.96,1.076,SPO0170,0
1.049,0.985,1.114,0.033,0.931,1.156,SPO0171,0
0.971,0.917,1.02,0.027,0.874,1.049,SPO0172,0
0.953,0.885,1.025,0.036,0.846,1.068,SPO0173,0
0.94,0.855,1.046,0.05,0.822,1.129,SPO0174,0
0.963,0.9,1.025,0.032,0.855,1.06,SPO0175,0
0.987,0.899,1.066,0.044,0.815,1.116,SPO0176,0
0.998,0.959,1.037,0.019,0.942,1.06,SPO0177,0
0.925,0.879,0.973,0.024,0.846,1,SPO0178,0
0.905,0.816,0.987,0.044,0.734,1.035,SPO0179,0
0.813,0.726,0.89,0.042,0.668,0.941,SPO0180,0
0.978,0.892,1.066,0.045,0.85,1.13,SPO0181,0
0.922,0.86,0.986,0.032,0.826,1.021,SPO0182,0
0.945,0.895,0.99,0.024,0.839,1.019,SPO0183,0
1.031,1.015,1.048,0.008,1.004,1.059,SPO0184,0
1.004,0.972,1.038,0.016,0.956,1.055,SPO0185,0
1.05,1.024,1.073,0.013,1.006,1.089,SPO0186,0
0.894,0.774,1.001,0.058,0.686,1.045,SPO0187,0
0.985,0.959,1.01,0.013,0.942,1.02,SPO0188,0
0.995,0.973,1.02,0.012,0.958,1.039,SPO0189,0
1.008,0.983,1.043,0.016,0.973,1.068,SPO0190,0
0.934,0.886,0.982,0.024,0.862,1.011,SPO0191,0
1.022,0.993,1.049,0.014,0.968,1.071,SPO0192,0
0.962,0.932,0.987,0.014,0.908,0.999,SPO0193,0
0.998,0.949,1.04,0.023,0.91,1.065,SPO0194,0
0.984,0.949,1.018,0.018,0.919,1.039,SPO0195,0
0.978,0.945,1.018,0.019,0.936,1.058,SPO0196,0
0.98,0.951,1.008,0.015,0.924,1.029,SPO0197,0
0.962,0.912,1.011,0.026,0.877,1.039,SPO0198,0
0.988,0.968,1.01,0.011,0.958,1.03,SPO0199,0
0.982,0.952,1.023,0.018,0.938,1.053,SPO0200,0
0.97,0.859,1.077,0.057,0.766,1.151,SPO0201,0
1,0.934,1.076,0.036,0.906,1.138,SPO0202,0
0.982,0.951,1.017,0.017,0.941,1.051,SPO0203,0
0.95,0.918,0.994,0.02,0.9,1.025,SPO0204,0
1.02,0.989,1.051,0.016,0.966,1.074,SPO0205,0
0.958,0.908,1.009,0.026,0.878,1.052,SPO0206,0
0.987,0.953,1.029,0.02,0.938,1.062,SPO0207,0
0.953,0.899,1.014,0.03,0.863,1.058,SPO0209,0
0.143,0,0.293,0.075,0,0.349,SPO0210,0
0.991,0.965,1.016,0.013,0.936,1.033,SPO0211,0
0.955,0.915,0.988,0.019,0.889,0.999,SPO0212,0
0.968,0.949,0.987,0.01,0.936,0.998,SPO0213,0
0.977,0.942,1.011,0.018,0.917,1.034,SPO0214,0
0.418,0.373,0.477,0.027,0.357,0.518,SPO0215,0
0.154,0.076,0.266,0.051,0.071,0.333,SPO0216,0
0.933,0.786,1.081,0.076,0.722,1.181,SPO0217,0
0.979,0.959,0.999,0.01,0.945,1.016,SPO0218,0
1.07,1.048,1.09,0.011,1.03,1.109,SPO0219,0
1.023,0.989,1.052,0.016,0.962,1.063,SPO0220,0
1.079,1.012,1.163,0.039,0.986,1.229,SPO0221,0
1.026,1.01,1.043,0.009,0.996,1.055,SPO0222,0
0.982,0.958,1.008,0.013,0.942,1.03,SPO0223,0
0.969,0.929,1.014,0.022,0.907,1.044,SPO0224,0
0.99,0.953,1.03,0.02,0.93,1.066,SPO0225,0
0.991,0.954,1.031,0.02,0.932,1.062,SPO0226,0
1.02,1.009,1.031,0.006,0.999,1.036,SPO0227,0
1.02,0.971,1.065,0.024,0.931,1.094,SPO0228,0
1.015,0.944,1.089,0.038,0.904,1.142,SPO0230,0
1.03,1.008,1.049,0.01,0.989,1.061,SPO0231,0
1.012,0.998,1.024,0.007,0.988,1.032,SPO0232,0
0.978,0.904,1.039,0.035,0.846,1.075,SPO0233,0
1.053,1.029,1.073,0.011,1.011,1.087,SPO0234,0
1.041,1.027,1.056,0.007,1.021,1.071,SPO0235,0
0.998,0.953,1.043,0.023,0.935,1.066,SPO0236,0
1.023,1.008,1.04,0.008,1.001,1.056,SPO0237,0
0.965,0.944,0.984,0.01,0.932,0.994,SPO0238,0
1.001,0.982,1.022,0.01,0.967,1.041,SPO0239,0
0.99,0.963,1.019,0.014,0.944,1.041,SPO0240,0
0.991,0.959,1.021,0.016,0.936,1.042,SPO0241,0
NA,NA,NA,NA,NA,NA,SPO0247,10000
0.976,0.93,1.021,0.023,0.894,1.058,SPO0248,0
1.191,1.084,1.303,0.056,1.037,1.387,SPO0249,0
1.001,0.969,1.029,0.015,0.942,1.05,SPO0250,0
NA,NA,NA,NA,NA,NA,SPO0251,10000
0,0,0,0,0,0,SPO0252,0
1.051,1.034,1.071,0.01,1.023,1.083,SPO0253,0
1.041,1.014,1.06,0.012,0.995,1.067,SPO0254,0
0.99,0.967,1.013,0.012,0.953,1.027,SPO0255,0
1.008,0.952,1.062,0.028,0.904,1.1,SPO0256,0
0.979,0.934,1.021,0.022,0.904,1.055,SPO0257,0
0.998,0.972,1.026,0.014,0.96,1.044,SPO0258,0
0.962,0.884,1.042,0.041,0.839,1.105,SPO0259,0
0.994,0.974,1.013,0.01,0.964,1.02,SPO0260,0
0.985,0.957,1.013,0.014,0.935,1.034,SPO0261,0
0.959,0.904,1.017,0.029,0.879,1.047,SPO0263,0
1.017,0.991,1.044,0.014,0.975,1.07,SPO0264,0
0.988,0.95,1.024,0.019,0.926,1.04,SPO0265,0
0.983,0.924,1.039,0.03,0.874,1.08,SPO0266,0
NA,NA,NA,NA,NA,NA,SPO0267,10000
1.04,0.998,1.074,0.02,0.951,1.086,SPO0268,0
0.985,0.926,1.039,0.029,0.878,1.067,SPO0269,0
1.056,1.007,1.112,0.027,0.968,1.148,SPO0270,0
NA,NA,NA,NA,NA,NA,SPO0271,10000
NA,NA,NA,NA,NA,NA,SPO0272,10000
NA,NA,NA,NA,NA,NA,SPO0273,10000
1.028,0.968,1.09,0.031,0.934,1.125,SPO0274,0
1.064,1.008,1.114,0.027,0.952,1.13,SPO0275,0
0.941,0.869,1.013,0.037,0.804,1.065,SPO0276,0
0.981,0.935,1.021,0.022,0.896,1.046,SPO0277,0
NA,NA,NA,NA,NA,NA,SPO0278,10000
0.731,0,1.116,0.268,0,1.207,SPO0280,35
0.993,0.96,1.033,0.019,0.947,1.073,SPO0281,0
0.925,0.826,1.026,0.051,0.768,1.106,SPO0282,0
1.084,1.059,1.108,0.023,1.059,1.108,SPO0283,5877
0.415,0.162,0.623,0.117,0.048,0.692,SPO0284,0
0.911,0.853,0.967,0.029,0.82,1.009,SPO0285,0
0.869,0.696,1.009,0.083,0.558,1.073,SPO0286,0
0.425,0.138,0.617,0.126,0,0.687,SPO0287,0
NA,NA,NA,NA,NA,NA,SPO0288,10000
0.937,0.897,0.979,0.021,0.873,1.017,SPO0289,0
0.966,0.889,1.033,0.037,0.838,1.067,SPO0290,0
0.821,0.789,0.858,0.018,0.779,0.887,SPO0291,0
0.98,0.933,1.026,0.024,0.89,1.06,SPO0292,0
0.985,0.972,0.998,0.007,0.965,1.008,SPO0293,0
0.923,0.839,1.015,0.045,0.796,1.069,SPO0294,0
0.987,0.969,1.006,0.01,0.956,1.022,SPO0295,0
1.04,1.015,1.065,0.013,0.997,1.088,SPO0296,0
0.081,0,0.337,0.107,0,0.337,SPO0297,618
0.985,0.966,1.005,0.01,0.95,1.02,SPO0298,0
1.006,0.978,1.036,0.015,0.961,1.058,SPO0299,0
1.026,0.997,1.058,0.016,0.977,1.085,SPO0300,0
1,0.967,1.025,0.015,0.94,1.036,SPO0301,0
0.958,0.881,1.054,0.045,0.848,1.128,SPO0302,0
1.057,1.003,1.12,0.03,0.98,1.167,SPO0303,0
1.061,1.038,1.086,0.012,1.027,1.105,SPO0304,0
0.972,0.938,1.006,0.018,0.916,1.032,SPO0305,0
0.957,0.918,0.99,0.019,0.887,1.006,SPO0306,0
0.946,0.889,1.002,0.029,0.842,1.039,SPO0307,0
0.918,0.837,0.991,0.04,0.778,1.037,SPO0308,0
0.962,0.899,1.016,0.03,0.855,1.052,SPO0309,0
0.977,0.944,1.025,0.021,0.93,1.059,SPO0310,0
1.077,1.061,1.094,0.009,1.055,1.105,SPO0311,0
0.983,0.961,1.008,0.012,0.947,1.023,SPO0312,0
0.998,0.935,1.075,0.035,0.905,1.131,SPO0313,0
1.018,0.973,1.061,0.023,0.95,1.085,SPO0314,0
0.904,0.847,0.978,0.034,0.826,1.038,SPO0315,0
NA,NA,NA,NA,NA,NA,SPO0316,10000
0.913,0.831,0.991,0.041,0.762,1.043,SPO0317,0
NA,NA,NA,NA,NA,NA,SPO0318,10000
NA,NA,NA,NA,NA,NA,SPO0319,10000
0.977,0.856,1.101,0.063,0.756,1.189,SPO0320,0
0.989,0.918,1.06,0.036,0.868,1.114,SPO0321,0
1.036,1.009,1.065,0.014,0.988,1.089,SPO0322,0
0.96,0.93,0.991,0.015,0.919,1.007,SPO0323,0
0.996,0.949,1.044,0.024,0.913,1.082,SPO0324,0
1.022,0.926,1.123,0.05,0.878,1.202,SPO0325,0
1.036,1.026,1.046,0.005,1.018,1.053,SPO0326,0
1.002,0.972,1.031,0.016,0.946,1.057,SPO0327,0
0.933,0.904,0.962,0.015,0.88,0.986,SPO0328,0
0.925,0.866,0.99,0.032,0.838,1.037,SPO0329,0
0.948,0.913,0.981,0.017,0.887,1.003,SPO0330,0
1.017,0.969,1.061,0.024,0.921,1.084,SPO0331,0
0.049,0,0.152,0.045,0,0.236,SPO0332,0
1.075,1.024,1.127,0.026,0.988,1.17,SPO0333,0
0.331,0.184,0.478,0.075,0.151,0.546,SPO0334,0
0.984,0.962,1.006,0.011,0.952,1.013,SPO0335,0
0.975,0.899,1.046,0.038,0.827,1.087,SPO0336,0
1.021,1.009,1.034,0.006,1.002,1.045,SPO0337,0
1.044,1.011,1.072,0.016,0.983,1.091,SPO0338,0
1.022,0.968,1.079,0.028,0.926,1.12,SPO0339,0
NA,NA,NA,NA,NA,NA,SPO0340,10000
0.966,0.888,1.036,0.038,0.838,1.089,SPO0342,0
1.039,0.902,1.143,0.062,0.86,1.185,SPO0343,96
NA,NA,NA,NA,NA,NA,SPO0344,10000
0.829,0.746,0.913,0.044,0.706,0.965,SPO0344a,0
0.381,0.116,0.667,0.146,0,0.823,SPO0345,0
NA,NA,NA,NA,NA,NA,SPO0346,10000
0.806,0.761,0.846,0.022,0.726,0.867,SPO0346a,0
0.383,0,1.032,0.405,0,1.032,SPO0347,2283
0.938,0.921,0.951,0.008,0.906,0.958,SPO0348,0
0.284,0.02,0.554,0.139,0.014,0.672,SPO0349,0
1.022,0.946,1.095,0.039,0.863,1.14,SPO0350,0
0.938,0.82,1.05,0.059,0.725,1.137,SPO0351,0
0.977,0.934,1.018,0.022,0.9,1.038,SPO0352,0
0.996,0.945,1.043,0.026,0.905,1.073,SPO0353,0
0.966,0.922,1.002,0.021,0.885,1.015,SPO0354,0
0.875,0.835,0.916,0.021,0.822,0.945,SPO0355,0
0.946,0.908,0.986,0.02,0.894,1.01,SPO0356,0
0.967,0.938,0.988,0.013,0.919,0.999,SPO0357,0
NA,NA,NA,NA,NA,NA,SPO0358,10000
0,0,0,0,0,0,SPO0360a,35
1.032,1.026,1.039,0.003,1.023,1.044,SPO0362,0
1.011,0.994,1.027,0.009,0.979,1.039,SPO0363,0
1.007,0.991,1.023,0.008,0.977,1.038,SPO0364,0
0.998,0.983,1.013,0.008,0.969,1.026,SPO0365,0
1.023,1.015,1.032,0.004,1.01,1.039,SPO0366,0
0.998,0.98,1.015,0.009,0.967,1.03,SPO0367,0
1.002,0.981,1.024,0.011,0.963,1.04,SPO0368,0
1.007,0.971,1.056,0.022,0.956,1.094,SPO0369,0
1.029,1.011,1.048,0.01,1.001,1.06,SPO0370,0
0.946,0.924,0.971,0.012,0.916,0.99,SPO0371,0
1.047,1.02,1.073,0.014,1.001,1.093,SPO0372,0
1.016,0.98,1.048,0.017,0.95,1.065,SPO0373,0
0.825,0.746,0.901,0.04,0.686,0.942,SPO0374,0
0.933,0.901,0.962,0.015,0.879,0.981,SPO0375,0
1.016,0.981,1.058,0.019,0.964,1.087,SPO0376,0
1.044,1.012,1.075,0.016,0.992,1.092,SPO0377,0
1.02,0.997,1.046,0.013,0.988,1.065,SPO0378,0
0.999,0.93,1.066,0.035,0.881,1.118,SPO0379,0
0.974,0.936,1.009,0.019,0.894,1.032,SPO0380,0
NA,NA,NA,NA,NA,NA,SPO0381,10000
NA,NA,NA,NA,NA,NA,SPO0382,10000
0.969,0.832,1.098,0.069,0.71,1.184,SPO0383,0
1.043,1.015,1.068,0.014,0.992,1.082,SPO0384,0
0.981,0.936,1.023,0.023,0.899,1.046,SPO0385,0
0.663,0.512,0.823,0.08,0.431,0.923,SPO0386,0
0.989,0.914,1.062,0.038,0.865,1.099,SPO0387,0
1.03,1.004,1.061,0.015,0.995,1.085,SPO0388,0
0.906,0.855,0.966,0.028,0.827,1.015,SPO0389,0
1.056,1.038,1.074,0.009,1.025,1.09,SPO0390,0
1.07,1.032,1.116,0.022,1.01,1.152,SPO0391,0
NA,NA,NA,NA,NA,NA,SPO0392,10000
0.913,0.836,0.976,0.036,0.778,1.002,SPO0393,0
0.999,0.977,1.019,0.011,0.959,1.035,SPO0394,0
0.971,0.832,1.103,0.067,0.766,1.168,SPO0395,0
0.974,0.947,1,0.026,0.947,1,SPO0396,5880
0.213,0,0.644,0.186,0,0.927,SPO0397,0
0.911,0.752,1.052,0.078,0.657,1.12,SPO0398,0
0.989,0.824,1.161,0.086,0.728,1.28,SPO0399,0
1.105,1.033,1.179,0.038,0.979,1.238,SPO0400,0
0.671,0.561,0.778,0.056,0.476,0.863,SPO0401,0
0.961,0.931,0.997,0.017,0.917,1.028,SPO0402,0
0.968,0.93,1.008,0.02,0.908,1.042,SPO0403,0
NA,NA,NA,NA,NA,NA,SPO0404,10000
0.852,0.41,1.269,0.217,0.29,1.455,SPO0405,3
1.058,1.007,1.113,0.027,0.964,1.151,SPO0406,0
0.974,0.941,1.004,0.016,0.919,1.024,SPO0407,0
NA,NA,NA,NA,NA,NA,SPO0408,10000
0.928,0.768,1.079,0.082,0.657,1.201,SPO0409,0
0.873,0.834,0.916,0.021,0.812,0.954,SPO0410,0
1.031,0.921,1.124,0.052,0.825,1.176,SPO0411,0
0.862,0.741,0.969,0.059,0.632,1.007,SPO0412,0
0.978,0.941,1.011,0.018,0.907,1.033,SPO0413,0
1.046,1.013,1.073,0.015,0.997,1.083,SPO0414,0
0.915,0.872,0.949,0.02,0.836,0.961,SPO0415,0
NA,NA,NA,NA,NA,NA,SPO0416,10000
1.047,0.927,1.166,0.062,0.836,1.264,SPO0417,0
NA,NA,NA,NA,NA,NA,SPO0418,10000
1.03,0.806,1.265,0.156,0.806,1.265,SPO0419,3205
NA,NA,NA,NA,NA,NA,SPO0420,10000
0.939,0.873,1.001,0.033,0.82,1.044,SPO0421,0
0.584,0.544,0.615,0.019,0.517,0.628,SPO0422,0
1.01,0.933,1.086,0.039,0.88,1.14,SPO0423,0
0.997,0.958,1.038,0.02,0.935,1.076,SPO0424,0
1.008,0.984,1.032,0.012,0.967,1.046,SPO0425,0
NA,NA,NA,NA,NA,NA,SPO0426,10000
1.011,0.968,1.057,0.023,0.944,1.088,SPO0427,0
0.979,0.951,1.007,0.014,0.931,1.027,SPO0428,0
0.97,0.927,1.024,0.025,0.911,1.058,SPO0429,0
NA,NA,NA,NA,NA,NA,SPO0430,10000
0.955,0.891,1.02,0.033,0.862,1.048,SPO0431,0
0.917,0.827,1.005,0.045,0.741,1.059,SPO0432,0
0.984,0.963,1.006,0.011,0.948,1.023,SPO0433,0
0.977,0.909,1.05,0.036,0.868,1.101,SPO0434,0
1.051,0.989,1.108,0.031,0.932,1.138,SPO0435,0
0.998,0.947,1.049,0.026,0.908,1.083,SPO0436,0
1.056,1.014,1.093,0.02,0.976,1.112,SPO0437,0
1.027,0.993,1.064,0.018,0.97,1.09,SPO0438,0
0.914,0.872,0.956,0.022,0.84,0.981,SPO0439,0
0.95,0.921,0.984,0.016,0.912,1.014,SPO0440,0
1.002,0.904,1.114,0.054,0.879,1.192,SPO0441,0
1.017,0.904,1.149,0.063,0.855,1.307,SPO0442,0
1.112,1.036,1.188,0.04,0.986,1.249,SPO0443,0
1.011,0.905,1.106,0.052,0.784,1.158,SPO0444,0
0.929,0.859,0.999,0.036,0.797,1.041,SPO0445,0
0.929,0.906,0.955,0.013,0.891,0.973,SPO0446,0
0.93,0.901,0.961,0.015,0.882,0.977,SPO0447,0
0.917,0.793,1.054,0.068,0.722,1.157,SPO0448,0
NA,NA,NA,NA,NA,NA,SPO0449,10000
0.99,0.918,1.064,0.038,0.872,1.129,SPO0450,0
0.968,0.933,1.002,0.018,0.91,1.019,SPO0451,0
0.89,0.822,0.963,0.037,0.783,1.015,SPO0452,0
0.928,0.864,1.001,0.035,0.83,1.063,SPO0453,0
